product,title,rating,body
Skybags New Neon 30 L Backpack (Green),"1.0 out of 5 stars
Cheap quality",1.0,"Totally i waste my 930 rs dont purchase it the pic was uploades in reviews the bag does'nt look like the same after receiving the order the bag not of the same quality.If i purchase this Same quality bag it cost me around only 400 to 500
Read more"
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Sho...","5.0 out of 5 stars
Worth the price!!",5.0,"I am using this product for three years. Build quality and zipper is very good. It would be better if the bag had atleast one inner pocket and compression strap. I had issue with load strap and it needed stitchinf (I have overloaded).
Read more"
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Sho...","4.0 out of 5 stars
Very bad",4.0,"This product is very small and not good quality.
Read more"
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Sho...","5.0 out of 5 stars
Sturdy and spaciois",5.0,"The media could not be loaded.
                



 3 spacious compartments, good quality zipper pullers. I have always bought Safari for school backpack. Lasts 2.5 years with daily use of heavy loadWould recommend the bottle holder pouch should not be mesh...it tears in a year
Read more"
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Sho...","1.0 out of 5 stars
very low quality as compared to price",1.0,"we got the much much better quality of bag of other branch less than the priceof this bag
Read more"
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Sho...","3.0 out of 5 stars
Good quality",3.0,"💯 water resistant
Read more"
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Sho...","5.0 out of 5 stars
Best quality",5.0,"I am very happy
Read more"
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Sho...","4.0 out of 5 stars
Osam",4.0,"It is very comfortable for me to use,it have plenty space and good quality and durability
Read more"
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Sho...","5.0 out of 5 stars
Happy",5.0,"Bag ok hei par Thora chota hei
Read more"
"Genie Glitter Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, ...","5.0 out of 5 stars
Quality product with good water resistence under 1000",5.0,"I will use this bag for my daily office work. Its water resistence ability save my trouble to keep my documents and gadets not to get wet in rainy days. Lots of space allow you to keep things organized. And its look is exactly like this pics. I would recommend this bag to all.
Read more"
"Genie Glitter Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, ...","4.0 out of 5 stars
Good product",4.0,"Good quality bag, capacity is adequate
Read more"
"Genie Glitter Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, ...","5.0 out of 5 stars
Excellent",5.0,"Nice product
Read more"
"Genie Glitter Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, ...","5.0 out of 5 stars
Excellent 👍",5.0,"Spacious.Smooth zipperCool designGood qualityLight weight.Also suitable for school going students 😃Go for it 👍👍
Read more"
"Genie Glitter Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, ...","5.0 out of 5 stars
A must buy bag",5.0,"The media could not be loaded.
                



 I use it for my office. It has amazing quality. It's a laptop bag with padded holder inside.Light weight and attractive. Easy to access pockets has very space.. love this bag.
Read more"
"Genie Glitter Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, ...","4.0 out of 5 stars
Quality and look are top notch",4.0,"It is a good buy.
Read more"
"Genie Glitter Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, ...","5.0 out of 5 stars
Very nice product and durable",5.0,"I found the products to be surprisingly durable and strong. My kid puts lots of books and a water bottle yet the bag holds all the items good. No wear and tear found sofar after 3 months of usage.
Read more"
"Genie Glitter Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, ...","4.0 out of 5 stars
Great product",4.0,"Bag is worth the money. Its a great quality bag but my only issue is it could have a little more space to keep more things.
Read more"
F Gear Luxur Brown 25 liter Laptop Backpack (2404),"5.0 out of 5 stars
All over review is a 5 star",5.0,"I loved the bag so much. The quality, colour and everything was perfect. Its a total value for money.
Read more"
F Gear Luxur Brown 25 liter Laptop Backpack (2404),"4.0 out of 5 stars
Good quality",4.0,"I'm soo happy for this bag it's so comfortableColour is cool rexine finishingThey are lots of space in this bag it's completely for laptop's and books etc..It's great for college students and look's are greatI'm happy with this bag.
Read more"
F Gear Luxur Brown 25 liter Laptop Backpack (2404),"5.0 out of 5 stars
Elegant look",5.0,"Look is very nice that people will appreciate your choice. Bag material, Zipper and straps are of good quality and sturdy. I feel compartments are a bit less spacy but good for those who needs less space. Recommended to buy.
Read more"
F Gear Luxur Brown 25 liter Laptop Backpack (2404),"5.0 out of 5 stars
Nice product completely satisfied 😊",5.0,"Value for money the colour is the same as the image, quite spacious and looks really premium at this price definitely go for it. The packing was in good condition from the seller👍
Read more"
F Gear Luxur Brown 25 liter Laptop Backpack (2404),"5.0 out of 5 stars
Must Be Purchase this cool bag",5.0,"This Bag Is Very Good Looking And Best Quality Ever If you go for office or college this bag suit on every person like students or employee Very Sexy Looking bag i like this bag go for it don't think more just order now
Read more"
F Gear Luxur Brown 25 liter Laptop Backpack (2404),"4.0 out of 5 stars
Durable and quality product",4.0,"It's been a year since I started using this backpack the best leather backpack at this range . The bagpack is still in best shape even after some rough use the leather and stitichings are good as new , the only problem is you can't fit a wide water bottle in its side spaces . If u want a stylish bag which can last for years to come this is the right choice in my opinion
Read more"
F Gear Luxur Brown 25 liter Laptop Backpack (2404),"5.0 out of 5 stars
Over all good",5.0,"Very good quality material, no complaint with runner and zip quality
Read more"
F Gear Luxur Brown 25 liter Laptop Backpack (2404),"5.0 out of 5 stars
Valuable",5.0,"Valuable
Read more"
PUMA Laptop Backpack IND I Black- White,"5.0 out of 5 stars
Good as expected.",5.0,Read more
PUMA Laptop Backpack IND I Black- White,"4.0 out of 5 stars
Good",4.0,"Expect something bestBut it’s fine it’s good but not the best
Read more"
PUMA Laptop Backpack IND I Black- White,"5.0 out of 5 stars
As expected",5.0,Read more
PUMA Laptop Backpack IND I Black- White,"3.0 out of 5 stars
Kinda gud",3.0,"Yeah the bag quality and comfort is gud but the zips are not kinda the beat one so .. yeah thats it !
Read more"
PUMA Laptop Backpack IND I Black- White,"5.0 out of 5 stars
Product was as expected",5.0,"All in one a good product. Got what was promised
Read more"
PUMA Laptop Backpack IND I Black- White,"5.0 out of 5 stars
AWESOME...",5.0,"I love puma..
Read more"
PUMA Laptop Backpack IND I Black- White,"1.0 out of 5 stars
Original product much be identified",1.0,"On picture it look like as original. But when I recived the product it doesn't seen to be
Read more"
PUMA Laptop Backpack IND I Black- White,"5.0 out of 5 stars
Love the bag",5.0,"The bag is nice
Read more"
Urban Tribe Fitpack Neo Multipurpose 15.6 Inch| Water Repellent |26 Litres | Laptop Gym Backpack With Shoe Compartment For...,"5.0 out of 5 stars
Nice product",5.0,"Kids like it
Read more"
Urban Tribe Fitpack Neo Multipurpose 15.6 Inch| Water Repellent |26 Litres | Laptop Gym Backpack With Shoe Compartment For...,"1.0 out of 5 stars
Very low quality with seams giving way in the first few days of use",1.0,"By the looks of it, it seemed line a nice and sturdy bag, very spacious and practical.Within a few days of use by my 10 year old daughter, the seams started to wear off.The pictured pasted on the bag came off from places and now it looks like an ugly bag!
Read more"
Urban Tribe Fitpack Neo Multipurpose 15.6 Inch| Water Repellent |26 Litres | Laptop Gym Backpack With Shoe Compartment For...,"5.0 out of 5 stars
Good",5.0,"Very comfortable and if you will use for school thats idea is also good and ventilated and also it has lot of space and if you will put 7-8 books in it . it will look that you have put only 2-3 books. Overall very good for me both colours and also value for money
Read more"
Urban Tribe Fitpack Neo Multipurpose 15.6 Inch| Water Repellent |26 Litres | Laptop Gym Backpack With Shoe Compartment For...,"3.0 out of 5 stars
Over-rated",3.0,"The product is good but overrated.
Read more"
Urban Tribe Fitpack Neo Multipurpose 15.6 Inch| Water Repellent |26 Litres | Laptop Gym Backpack With Shoe Compartment For...,"5.0 out of 5 stars
Blackpink bag",5.0,"It's great must buy it price worth can carry 6th to 9th grade books the quality is goodALL BLINK must buy it💖🖤
Read more"
"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)","5.0 out of 5 stars
Good laptop bag",5.0,"It is awesome to have this bag if one is looking for a water and dust proof, easy to use, daily usage laptop bag. I would give 5/5 for portability, value for money, water resistantance, size. Highly valued product in a better cost. Thank you team for the putting the best offer available :)
Read more"
"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)","4.0 out of 5 stars
Decent quality",4.0,"Value for money. But colour is different.
Read more"
"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)","5.0 out of 5 stars
Looking good",5.0,"The media could not be loaded.
                



 Soldier  hanging quality loose .
Read more"
"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)","3.0 out of 5 stars
Overall",3.0,"Size is a little small for average size of laptop. The look is good . But the good quality is not to good. Not good for travel
Read more"
"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)","5.0 out of 5 stars
Quality is good",5.0,"Good product nice quality
Read more"
"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)","4.0 out of 5 stars
Best for children from 8-10 yo",4.0,"The fabric of the bag is okay type but the main thing I personally didn't liked is cushion part. It should be improved.
Read more"
"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)","1.0 out of 5 stars
Not a water resistant bag",1.0,"Today I was stuck in heavy rains and when I reached home, my all belongings were drenched in water. I wish I could give it no star at all. If I wanted a normal bag, I could heave purchased it from anywhere.
Read more"
"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)","5.0 out of 5 stars
Perefect",5.0,"Build quality is good.You have quite good storage compartments.Cons -Laptops of 16"" couldnt fit in laptop compartment you can keep in main compartment
Read more"
Urban Tribe Fitpack Neo Multipurpose 15.6 Inch| Water Repellent |26 Litres | Laptop Gym Backpack With Shoe Compartment For...,"5.0 out of 5 stars
Good choice",5.0,"Same as it is... Nice product... current size for 6 to 7 grade kids... Good quality....
Read more"
Urban Tribe Fitpack Neo Multipurpose 15.6 Inch| Water Repellent |26 Litres | Laptop Gym Backpack With Shoe Compartment For...,"1.0 out of 5 stars
No Quality",1.0,"I would only give  it a one because  it looks exactly the same it as the picture but 000 quality  never buy very  very  very  bad
Read more"
Urban Tribe Fitpack Neo Multipurpose 15.6 Inch| Water Repellent |26 Litres | Laptop Gym Backpack With Shoe Compartment For...,"3.0 out of 5 stars
Defected product",3.0,"Chain sleev missing
Read more"
Skybags Unisex Purple Oxford 10L Backpacks,"5.0 out of 5 stars
Good bag",5.0,"Small bag, very good for short trips, stong and sturdy, worth the price
Read more"
Skybags Unisex Purple Oxford 10L Backpacks,"4.0 out of 5 stars
Good quality",4.0,"Good quality & Value of money
Read more"
Skybags Unisex Purple Oxford 10L Backpacks,"5.0 out of 5 stars
Worth for Price",5.0,"Product is good and value for money
Read more"
Skybags Unisex Purple Oxford 10L Backpacks,"1.0 out of 5 stars
one zip not working properly",1.0,"one zip of the bag is not working properly  ..... somehow i am managing to use it .. but i am not returning it because i urgently need it now .... if i replace it , it will took much time ... please check the products before delivering to customer ... Amazon's Quality is diminishing nowadays..
Read more"
Skybags Unisex Purple Oxford 10L Backpacks,"3.0 out of 5 stars
Small bag for children",3.0,"Small bag for children.
Read more"
Skybags Unisex Purple Oxford 10L Backpacks,"5.0 out of 5 stars
Go get it!!!",5.0,"This one is so cool.... Not too small not even too big...such a classy backpack and the color is same as shown in the picture.
Read more"
Skybags Unisex Purple Oxford 10L Backpacks,"4.0 out of 5 stars
Nice quality",4.0,"Good quality
Read more"
